Sigla da Cidade,Nome da Cidade,UF do Estado,Nome curto Empresa,Slug,Nome longo Empresa,Coordenadas,Input_Maximum,Input_Average,Input_Current,Output_Maximum,Output_Average,Output_Current,Extraction_Date
se,Aracaju,SE,,rnp,,"74,84,94,67,94,75,317,76,317,86,300,102,299,93,74,94","5350,00","2370,00","3650,00","3930,00","1680,00","3330,00",2024-08-26
bel,Belém,PA,,rnp_prodepa,,"59,69,59,39,143,39,143,69","2490,00","1010,00","1810,00","1950,00","830,00","1600,00",2024-08-26
bel,Belém,PA,,prontonet_prodepa,,"152,162,152,79,182,79,182,162","35,13","34,13","35,13","12,41","5,87","5,74",2024-08-26
bel,Belém,PA,,rnp_faepa,,"24,162,24,79,52,79,52,162","2,37","915,46","1880,00","9170,00","3640,00","8930,00",2024-08-26
bel,Belém,PA,,prontonet_faepa,,"59,200,59,170,143,173,143,200","1680,00","650,00","1480,00","6640,00","2550,00","6570,00",2024-08-26
mg,Belo Horizonte,MG,PIX PRODABEL,prodabel,PIX PRODABEL,"506,165,524,165,524,82,506,82","180,21","31,38","161,31","8330,00","1660,00","7810,00",2024-08-26
mg,Belo Horizonte,MG,PIX ALGAR,algar,PIX ALGAR,"190,165,208,165,208,82,190,82","2440,00","1390,00","2400,00","14070,00","11450,00","12740,00",2024-08-26
mg,Belo Horizonte,MG,PIX ELETRONET,eletronet,Pix ELETRONET,"822,165,840,165,840,82,822,82","31240,00","18150,00","26990,00","55060,00","35330,00","54970,00",2024-08-26
mg,Belo Horizonte,MG,PIX SEMPRE TELECOM,sempretelecom,PIX SEMPRE TELECOM,"192,356,211,356,211,272,192,272","9920,00","5680,00","9490,00","13670,00","9720,00","12080,00",2024-08-26
mg,Belo Horizonte,MG,PIX CENTURY TELECOM,centurytelecom,PIX CENTURY TELECOM,"822,356,840,356,840,272,822,272","89960,00","73100,00","79760,00","17240,00","14410,00","16040,00",2024-08-26
df,Brasília,DF,,telebras_serpro,,"199,92,199,128,402,128,402,92","1560,00","1000,00","1130,00","79,66","39,01","38,32",2024-08-26
df,Brasília,DF,,rnp_telebras,,"176,132,271,226,264,233,302,233,208,140,214,132","360,81","145,01","242,08","3070,00","1290,00","1910,00",2024-08-26
df,Brasília,DF,,rnp_serpro,,"391,132,398,140,304,233,341,233,334,226,429,132","121660,00","85990,00","107810,00","36980,00","27150,00","32240,00",2024-08-26
df,Brasília,DF,,elea,,"266,278,272,284,178,378,215,378,208,372,303,278","150,00","30,00","10,00","21890,00","10390,00","21400,00",2024-08-26
