id,name,city,country,ix_id,fac_id,created,updated,status,ix_name,org_id,org_name,campus_id,aka,name_long,website,social_media,clli,rencode,npanxx,notes,net_count,ix_count,sales_email,sales_phone,tech_email,tech_phone,available_voltage_services,diverse_serving_substations,property,region_continent,status_dashboard,address1,address2,state,zipcode,floor,suite,latitude,longitude
165,Equinix SP4 - São Paulo,Barueri,BR,119,165,2010-07-29T00:00:00Z,2024-07-01T12:48:41Z,ok,Equinix São Paulo,2,"Equinix, Inc.",nan,nan,nan,https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp4/,"[{'service': 'website', 'identifier': 'https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp4/'}]",nan,nan,nan,nan,504,5,nan,nan,support@equinix.com,nan,[],True,Owner,South America,https://status.equinix.com,"Av. Ceci, 1900 - Res. Tambore",Tamboré,SP,06455000,nan,nan,-23.497589,-46.814577
1283,Equinix SP2 - São Paulo,Barueri,BR,119,1283,2012-09-06T00:00:00Z,2020-07-03T11:32:07Z,ok,Equinix São Paulo,2,"Equinix, Inc.",nan,nan,nan,https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp2/,"[{'service': 'website', 'identifier': 'https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp2/'}]",nan,nan,nan,nan,222,4,nan,nan,nan,nan,[],nan,nan,South America,nan,"Alameda Araguaia, 3641",Tambore,SP,06455000,nan,nan,-23.5027,-46.827255
1585,Equinix SP1 - São Paulo,São Paulo,BR,119,1585,2013-08-12T00:00:00Z,2020-07-03T11:31:41Z,ok,Equinix São Paulo,2,"Equinix, Inc.",nan,nan,nan,https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp1/,"[{'service': 'website', 'identifier': 'https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp1/'}]",nan,nan,nan,nan,80,4,nan,nan,nan,nan,[],nan,nan,South America,nan,"Rua Dr. Miguel Couto, 58",Centro,SP,01008010,nan,nan,-23.545988,-46.635836
4309,Equinix SP3 - São Paulo,Santana de Parnaiba,BR,119,4309,2017-08-14T19:44:07Z,2020-07-03T11:31:43Z,ok,Equinix São Paulo,2,"Equinix, Inc.",nan,nan,nan,https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp3/,"[{'service': 'website', 'identifier': 'https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp3/'}]",nan,nan,nan,nan,125,5,nan,nan,nan,nan,[],nan,nan,South America,nan,"Avenida Marcos Penteado de Ulhoa Rodrigues, 249",nan,SP,06543-001,nan,nan,-23.466119,-46.863194
165,Equinix SP4 - São Paulo,Barueri,BR,171,165,2010-07-29T00:00:00Z,2024-07-01T12:48:41Z,ok,IX.br (PTT.br) São Paulo,2,"Equinix, Inc.",nan,nan,nan,https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp4/,"[{'service': 'website', 'identifier': 'https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp4/'}]",nan,nan,nan,nan,504,5,nan,nan,support@equinix.com,nan,[],True,Owner,South America,https://status.equinix.com,"Av. Ceci, 1900 - Res. Tambore",Tamboré,SP,06455000,nan,nan,-23.497589,-46.814577
816,PIX Telium,São Paulo,BR,171,816,2010-07-29T00:00:00Z,2017-09-06T04:34:31Z,ok,IX.br (PTT.br) São Paulo,1306,Telium Networks,nan,nan,nan,http://www.telium.com.br,"[{'service': 'website', 'identifier': 'http://www.telium.com.br'}]",nan,nan,nan,nan,27,1,nan,nan,nan,nan,[],nan,nan,South America,nan,Av. Nações unidas 13797 Building III 2° floor,nan,SP,nan,nan,nan,-22.326651,-49.062482
1057,Cirion Sao Paulo - SAO1,Cotia,BR,171,1057,2011-06-02T00:00:00Z,2024-03-21T13:53:59Z,ok,IX.br (PTT.br) São Paulo,35201,Cirion,nan,Teleporto Cotia,Cirion Technologies,https://ciriontechnologies.com,"[{'service': 'website', 'identifier': 'https://ciriontechnologies.com'}]",nan,nan,nan,nan,125,2,contato.br@ciriontechnologies.com,551139572200.0,dl-ipnoc-lat@ciriontechnologies.com,nan,[],nan,nan,South America,nan,"Av. Eid Mansur, 666",Parque Sao George,nan,06708-070,nan,nan,-23.597933,-46.848808
1099,PIX G8 Sao Paulo,São Paulo,BR,171,1099,2011-09-30T00:00:00Z,2022-08-06T00:57:32Z,ok,IX.br (PTT.br) São Paulo,4855,G8,nan,nan,nan,http://www.g8.net.br,"[{'service': 'website', 'identifier': 'http://www.g8.net.br'}]",nan,nan,nan,nan,19,1,nan,nan,nan,nan,[],nan,nan,South America,nan,"R. Flórida, 1738 – Conj. Comercial 31, 3º andar – Brooklin",nan,SP,04575901,nan,nan,-23.607007,-46.694739
1283,Equinix SP2 - São Paulo,Barueri,BR,171,1283,2012-09-06T00:00:00Z,2020-07-03T11:32:07Z,ok,IX.br (PTT.br) São Paulo,2,"Equinix, Inc.",nan,nan,nan,https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp2/,"[{'service': 'website', 'identifier': 'https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp2/'}]",nan,nan,nan,nan,222,4,nan,nan,nan,nan,[],nan,nan,South America,nan,"Alameda Araguaia, 3641",Tambore,SP,06455000,nan,nan,-23.5027,-46.827255
1325,TIVIT Sao Paulo,Sao Paulo,BR,171,1325,2012-10-22T00:00:00Z,2017-09-06T04:45:46Z,ok,IX.br (PTT.br) São Paulo,6993,TIVIT,nan,nan,nan,https://www.tivit.com.br,"[{'service': 'website', 'identifier': 'https://www.tivit.com.br'}]",nan,nan,nan,nan,25,2,nan,nan,nan,nan,[],nan,nan,South America,nan,"Rua Bento Branco de Andrade Filho, 621",Jardim Dom Bosco,SP,04757-000,nan,nan,-23.65071,-46.720519
1345,SouthTech Telecom - SPO-01,São Paulo,BR,171,1345,2012-11-26T00:00:00Z,2021-11-05T01:33:11Z,ok,IX.br (PTT.br) São Paulo,13279,Vogel Soluções em Telecom e Informática S/A,nan,nan,nan,http://www.stech.net.br,"[{'service': 'website', 'identifier': 'http://www.stech.net.br'}]",nan,nan,nan,nan,1,1,nan,nan,nan,nan,[],nan,nan,South America,nan,"Avenida Das Nações Unidas, 12901",Torre Norte,SP,04578-910,4th andar,nan,-23.610224,-46.696424
1585,Equinix SP1 - São Paulo,São Paulo,BR,171,1585,2013-08-12T00:00:00Z,2020-07-03T11:31:41Z,ok,IX.br (PTT.br) São Paulo,2,"Equinix, Inc.",nan,nan,nan,https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp1/,"[{'service': 'website', 'identifier': 'https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp1/'}]",nan,nan,nan,nan,80,4,nan,nan,nan,nan,[],nan,nan,South America,nan,"Rua Dr. Miguel Couto, 58",Centro,SP,01008010,nan,nan,-23.545988,-46.635836
1903,Eletronet Sao Paulo,Sao Paulo,BR,171,1903,2014-09-08T00:00:00Z,2023-10-20T21:20:34Z,ok,IX.br (PTT.br) São Paulo,18207,ELETRONET S.A.,nan,nan,nan,http://eletronet.com/,"[{'service': 'website', 'identifier': 'http://eletronet.com/'}]",nan,nan,nan,nan,63,2,nan,nan,nan,nan,[],nan,nan,South America,nan,100 Av Alfredo Egidio De Souza Anaha,nan,SP,nan,nan,nan,-23.632951,-46.711945
